feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_seconds
T0_no_current_grades,Logistic Regression,0.7126436781609194,0.6815376660913487,0.8743603754466668,0.7370215613920846,0.7991926688565525,0.763588751104531,0.5592123329406604
T0_no_current_grades,Random Forest,0.7883141762452107,0.678556230221745,0.856881991962637,0.8746563200926127,0.8654201561678198,0.7938626867836067,1.5113180830376223
T0_no_current_grades,Hist Gradient Boosting,0.7883141762452107,0.6240471976233775,0.8291145915730634,0.9176660516605167,0.871096420497774,0.7800187953542617,1.6334791250992566
T1_after_first_grade,Logistic Regression,0.8544061302681992,0.8441536325595052,0.9465528709002466,0.8623788076116053,0.902304786287242,0.9307169644813733,0.5918139590648934
T1_after_first_grade,Random Forest,0.85727969348659,0.8241565221932626,0.9304982618477808,0.8832754504015629,0.9060807562718765,0.9234960297966536,1.1015601250110194
T1_after_first_grade,Hist Gradient Boosting,0.8745210727969349,0.8009419672546008,0.9093018589760365,0.9324261992619927,0.92064424055238,0.9289648527824238,1.2523294580169022
T2_after_second_grade,Logistic Regression,0.8994252873563218,0.8963971945793802,0.9674459376286375,0.9017030243831851,0.9331968688544977,0.9678173005859065,0.4730037919944152
T2_after_second_grade,Random Forest,0.910919540229885,0.9054533384885938,0.9687391342703443,0.915201504956226,0.9411350150943504,0.9681691816365311,1.0421981250401586
T2_after_second_grade,Hist Gradient Boosting,0.9157088122605365,0.8633185737792001,0.93673134146227,0.9569857463280514,0.9465763093420527,0.968770474652899,0.9813178749755025
