feature,importance_mean,importance_std
G2,0.23712690951821386,0.016757429514679567
G1,0.031792543531673934,0.004298302147225058
absences,0.00406794145924585,0.00046590919022336937
subject,0.0033735711996581543,0.0005779346448588223
goout,0.001820318342057492,0.00017895858640208266
Walc,0.0015949150731759288,0.00032224701695510155
school,0.0014709966883880376,0.0002769169027390187
activities,0.0012114090374960363,0.00011810938968985072
reason,0.0010447601751949476,0.00010087017740934705
health,0.000984937506676653,0.00020245184370971825
Fjob,0.0008343125734429746,0.00015044678422599023
age,0.0007274863796603581,8.414215860493951e-05
Medu,0.0006997115692767508,0.00015812441927394246
nursery,0.0006815511163337007,0.0003256815129750066
Mjob,0.0005736566606132198,0.0001613959606645608
Fedu,0.0005704518747996712,0.00018439203675684523
sex,0.0005287896592244712,0.00010128790784006786
address,0.0005181070398462051,0.00011034685617874702
Dalc,0.0004678987287682901,9.462413155764719e-05
schoolsup,0.0004379873945091095,4.2863802259849725e-05
romantic,0.00043585087063349184,0.0001878926684406891
traveltime,0.00042516825125522574,6.388170660285227e-05
failures,0.00041448563187695964,4.034015081400574e-05
famsize,0.0003471851297937922,0.00011204025725564903
guardian,0.0003236833671616202,0.0001167586352312374
studytime,0.0002830894135242179,9.814066085126175e-05
famsup,0.00028308941352415127,7.045671380340972e-05
freetime,0.0002585193889542259,7.941146262171477e-05
famrel,0.0002446319837624333,5.6466511212059905e-05
internet,0.0001677171242388864,4.360288779393978e-05
Pstatus,0.0001613075526119223,0.00011902374893605826
paid,4.059395363742446e-05,4.076227759501356e-05
higher,0.0,0.0
