feature_set,model,rmse,mae,r2,fit_seconds
T0_no_current_grades,Linear Regression,3.4155229514079095,2.4623584095334787,0.21205595691084514,0.11498650000430644
T0_no_current_grades,Ridge Regression,3.4053798193653413,2.451814077189269,0.21696637143227748,0.11569408292416483
T0_no_current_grades,Random Forest,3.3303936608350804,2.3855632409829113,0.25201909252376653,1.4459863749798387
T0_no_current_grades,Hist Gradient Boosting,3.36736297767534,2.446683705070393,0.2344209354643075,1.1480766250751913
T1_after_first_grade,Linear Regression,2.2739547643360685,1.5614261729243093,0.6486586178910608,0.12297825003042817
T1_after_first_grade,Ridge Regression,2.2629151956458635,1.548586975661772,0.6521018571602465,0.1088484589708969
T1_after_first_grade,Random Forest,2.0188519223459873,1.3809422172837194,0.7240638674279588,1.4435557909309864
T1_after_first_grade,Hist Gradient Boosting,2.0035108877019745,1.385618565767105,0.7271145705388266,1.2817093750927597
T2_after_second_grade,Linear Regression,1.6052403158255817,0.999988163705608,0.8224365838098553,0.11694887501653284
T2_after_second_grade,Ridge Regression,1.5974093280195485,0.9914009450135698,0.8241358268304625,0.11265520902816206
T2_after_second_grade,Random Forest,1.4472369769432047,0.874741077854301,0.8522725984003241,1.4354825409827754
T2_after_second_grade,Hist Gradient Boosting,1.4382100721265163,0.8801284644935273,0.8553119940510495,1.2741119579877704
